# L1 Error for e-2 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
7.21710000e-21    si24
6.57850000e-21    k48
3.88392000e-21    kr87
3.36740000e-21    mo85
2.49820000e-21    nb82
2.00890000e-21    y77
1.02412500e-21    se83
8.10580000e-22    mg20
6.30550000e-22    sr74
3.14865000e-22    cl43
3.01157000e-22    ar46
8.14900000e-23    zr79
6.63920000e-23    fe47
6.10480000e-23    ni51
4.79070000e-23    kr69
2.57210000e-23    al22
1.88751000e-23    p38
5.79480000e-24    s41
5.26827000e-24    k49
3.65800000e-24    mo84
3.01180000e-24    y76
4.45290000e-25    zr78
1.21230000e-25    cl44
1.38600000e-26    mo83
5.71840000e-27    y75
3.38130000e-27    si23
2.94716000e-27    s42
1.27290000e-28    cl45
